"Fit parameters produced by simultaneous optimization of 4 psuedo-Voigt peaks over the Hap quadruplet. Io is the total integrated intensity, mu is the mean position (peak center), fg is the Gaussian component of the peak width, fl is the Lorentzian component of the peak width. See methods section ref  6 and Supplemental Text 1.4.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
reflection,'121','121','121','121','112','112','112','112','030','030','030','030','022','022','022','022'
variable,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl
units,[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta]
pattern_ID,,,,,,,,,,,,,,,,
1,0.000108494,14.785,0.15,0.15,0.00010881,15.11139834,0.15,0.15,0.000108196,15.445,0.15,0.15,0.00010801,16.00499998,0.15,0.15
2,234.3487588,14.86923385,0.023371815,0.104118751,44.11489011,15.0878748,0.121825262,0.023373317,350.8173857,15.36324311,0.027944692,0.115800725,56.79492425,15.87843494,0.023371827,0.15
3,1264.844909,14.85970614,0.09344166,0.041022796,291.6788697,15.0683684,0.075353838,0.070451852,1582.174777,15.36724966,0.074441374,0.061208685,84.55733921,15.91540564,0.075201893,0.023371821
4,4375.838747,14.85576032,0.093802326,0.043615618,1141.148577,15.064079,0.057136771,0.060605821,6177.01069,15.36409826,0.084966102,0.053806179,608.5756824,15.9206,0.079019011,0.034817368
5,3672.202688,14.84974839,0.081738349,0.040642405,382.4605761,15.06517687,0.023378176,0.120528602,11562.8104,15.36235965,0.086635066,0.053518811,131.8097186,15.92719221,0.056261281,0.023371815
6,3660.829523,14.84878447,0.081244393,0.046115526,332.3853946,15.15499996,0.15,0.15,12974.14066,15.36615207,0.090005525,0.052669913,23.79567294,15.92776576,0.041704954,0.023371846
7,4371.621474,14.84828141,0.087818978,0.046213133,230.9774722,15.155,0.15,0.143282411,14238.58375,15.36444361,0.087700932,0.057298631,0.000100326,16.005,0.124954873,0.15
8,5570.999547,14.84790838,0.096130031,0.044697996,254.6335382,15.155,0.15,0.116044856,12952.75827,15.3644748,0.084707783,0.060416987,0.000100179,16.00499998,0.15,0.15
9,6612.877955,14.84764477,0.094159827,0.043242672,171.3730459,15.155,0.15,0.15,11776.89563,15.36297485,0.083385125,0.058552191,0.0001,16.005,0.055049672,0.15
10,7453.776467,14.8479373,0.085887792,0.049037102,186.3024359,15.155,0.15,0.15,11028.38856,15.36350506,0.088005619,0.05383639,0.000100016,15.855,0.149983961,0.15
11,8107.335174,14.84920764,0.08440776,0.05334213,164.6557044,15.155,0.15,0.15,10207.33779,15.36273625,0.082519087,0.054065297,0.000100002,16.005,0.149988063,0.15
12,7432.447619,14.84842562,0.093708513,0.038080974,282.7880592,15.01225963,0.023371866,0.128755706,7402.897239,15.35967108,0.089915491,0.049494458,0.0001,15.85507064,0.149768573,0.149999252
13,7937.266324,14.84753088,0.088880445,0.044575322,282.2096286,15.03867382,0.15,0.070252128,6447.213672,15.35985533,0.08622033,0.052536767,65.78902383,15.91918702,0.042120459,0.023466531
14,9319.826088,14.84926704,0.087381082,0.041873238,636.6355392,15.0556482,0.038680349,0.106009033,6286.855165,15.36215545,0.082300939,0.052752016,323.4206044,15.92337319,0.081087387,0.023371831
15,8031.131294,14.85140898,0.081156411,0.049219961,917.8094355,15.06289446,0.089724079,0.033914754,5091.125907,15.35899745,0.082733067,0.051096838,728.2062022,15.91485622,0.08129156,0.026615425
16,7067.588315,14.85098953,0.080532186,0.044401384,1026.151767,15.05492131,0.074611495,0.052408507,5741.484062,15.35840025,0.075058346,0.057729555,913.2428906,15.91220967,0.085810945,0.023523872
17,7161.396387,14.85136727,0.074243313,0.048186923,835.0957298,15.05656958,0.078275524,0.039852446,6441.308325,15.35809429,0.080667934,0.04875958,433.746843,15.91485568,0.078563356,0.023371815
18,6550.123145,14.85068199,0.086615712,0.039565353,1063.334347,15.05920878,0.058608686,0.063862934,7600.176863,15.35518745,0.083031293,0.050855754,286.6601265,15.90957966,0.072635703,0.023371831
19,6026.333771,14.84989816,0.087362586,0.038914696,1067.450547,15.05781984,0.046987567,0.074576861,9437.924288,15.35624299,0.084518511,0.050309374,187.8748291,15.91170729,0.065036202,0.023371817
20,5671.139743,14.84975161,0.08597894,0.043278207,825.5414138,15.06060493,0.051895744,0.073525478,10619.67124,15.35519438,0.080702313,0.055537192,171.0905096,15.91879761,0.062097936,0.023371818
21,5569.091561,14.8469163,0.087127626,0.042542941,633.2586768,15.0635881,0.023371909,0.102952476,10462.46652,15.35881641,0.082912032,0.053697575,159.8571073,15.92299786,0.05838003,0.023371815
22,8428.355785,14.84248279,0.08840728,0.048689533,486.0453488,15.05726063,0.023371857,0.136140999,8745.559537,15.36069479,0.08389766,0.057846354,92.57219752,15.92336391,0.060516236,0.023371815
23,8106.038058,14.84433499,0.087090161,0.045733712,288.3590842,15.03604792,0.149997662,0.027803978,7399.771839,15.35923481,0.085780242,0.053492992,89.88440118,15.91474627,0.072167712,0.023382518
24,7886.295164,14.84648469,0.086006439,0.050292522,281.257358,15.06344076,0.091478411,0.041926185,5976.430207,15.35971748,0.082842682,0.054098955,286.2861646,15.91073616,0.086941193,0.023371815
25,5666.649659,14.8441488,0.082194803,0.038770988,721.4471087,15.04046576,0.143224799,0.15,6952.103216,15.35968696,0.084691369,0.051059576,336.7372431,15.90911905,0.072708024,0.023371847
26,1563.929589,14.84918398,0.08686568,0.04324705,262.7461724,15.15436468,0.15,0.15,9451.90427,15.3582183,0.087565201,0.055588087,48.99301401,15.91072845,0.048696882,0.023371824
27,2211.298925,14.84295217,0.09548347,0.035787131,243.7244233,15.155,0.149999992,0.119996383,14604.22882,15.35997801,0.086803646,0.058522028,0.000100003,15.89618288,0.076353054,0.02362835
