Fit quality and calculated crystallographic parameters for each pattern in the diffraction map of sample 1.,,,,,
,,,,,
variable,R^2,CLAA,s121,a,c
units,[a.u],[a.u.],[\AA],[\AA],[\AA]
pattern_ID,,,,,
1,#NAME?,NaN,136.8908143,9.403381537,7.279646678
2,0.916687828,0.307492178,322.2074654,9.453119904,6.837147417
3,0.997951814,1.411547662,414.9676074,9.450670069,6.871679994
4,0.999751112,1.298926545,398.8268499,9.452596907,6.875538462
5,0.999791297,2.190500054,490.3660778,9.453660274,6.888180672
6,0.99961855,3.587039762,450.632692,9.451341075,6.899231066
7,0.99970672,4.691612776,413.457619,9.452385712,6.8968288
8,0.999664329,5.462035582,382.873842,9.452366642,6.897926602
9,0.999707126,5.250199193,399.0881607,9.45328398,6.895328262
10,0.999708245,5.44298265,406.6996341,9.452959693,6.895697031
11,0.999790174,4.280990091,389.9714946,9.453429919,6.890498843
12,0.99958412,4.835047002,431.11823,9.455305127,6.885878122
13,0.999657221,3.81466903,417.6843969,9.455192381,6.888741274
14,0.999539019,1.449570257,443.197286,9.453785179,6.889052068
15,0.999740701,3.275507822,429.9011323,9.455717337,6.876225986
16,0.999607149,2.393580909,468.0704753,9.456082816,6.876060532
17,0.999671598,1.813023896,480.2873316,9.456270067,6.874357024
18,0.999704864,1.298644581,464.503049,9.458049472,6.869854018
19,0.999644889,2.797115533,464.3960122,9.457403247,6.874305876
20,0.999607872,2.914158039,441.995418,9.45804523,6.872405942
21,0.999647601,2.914848428,440.1718002,9.455828127,6.888135118
22,0.999736473,4.361894594,396.7362766,9.454678757,6.904514552
23,0.999681437,3.329677379,420.0424721,9.45557209,6.8961612
24,0.999746975,4.254352641,399.1245304,9.455276734,6.891312093
25,0.999488182,1.24920536,503.3404292,9.455295408,6.897676547
26,0.9997709,3.093057679,437.0288536,9.456194171,6.880598903
27,0.999710073,3.847284258,435.3320772,9.455117316,6.901624452
28,0.999680967,5.056675076,379.8257728,9.454636314,6.899088907
29,0.999518544,5.646071334,390.8605597,9.454079602,6.913537625
30,0.999621082,5.368587172,384.6108938,9.454703178,6.899692479
31,0.999653771,5.757005142,367.593634,9.45300628,6.917401993
32,0.999626429,5.493911038,379.4565049,9.45325017,6.911478074
33,0.999742599,4.967171078,376.1169291,9.454353433,6.900800312
34,0.999622053,4.764695779,385.865284,9.45432618,6.898491591
35,0.99966887,3.320665475,394.2453484,9.452822777,6.907987428
36,0.999423696,2.763553625,396.2939264,9.455976453,6.883773311
37,0.9995255,1.795948756,406.239122,9.457507611,6.878776037
38,0.999497621,2.852408259,406.5075853,9.455039652,6.896814499
39,0.999388048,3.06252636,400.9564671,9.454361155,6.899609819
40,0.999498935,4.495310489,401.4960756,9.45480274,6.904390626
41,0.999417492,4.781760169,369.5220024,9.455549876,6.895049855
42,0.999272356,4.209450724,384.3918372,9.455850237,6.893534005
43,0.999360705,3.028854348,387.9552799,9.454160859,6.890098098
44,0.999418743,0.99033508,415.2651497,9.457460364,6.875425158
45,0.998481396,1.195630036,546.3475257,9.455819196,6.914749497
46,0.999158859,1.072985047,485.4393451,9.458468423,6.8673647
47,0.999562449,2.345967478,482.2283081,9.455950083,6.877348403
48,0.999421164,4.105882206,421.0909373,9.455806769,6.872512075
49,0.999374914,4.74888932,367.6557687,9.454570684,6.88878742
50,0.999061232,4.885352767,348.3553149,9.453258755,6.89776145
51,0.998804891,4.382865135,393.0652743,9.450819638,6.919757895
52,0.998696603,4.651011432,397.0151881,9.454439921,6.890926517
53,0.788553847,0.656935599,2529.592689,9.459792523,6.827802167
54,0.990033667,1.22155743,373.0237101,9.450654587,6.851287295
55,0.999234846,3.041009692,344.386168,9.448420823,6.855485705
56,0.999814429,2.026504233,420.3692515,9.454347752,6.868326312
57,0.999685476,2.404838798,478.7335558,9.452066319,6.900489135
58,0.999780976,4.606056051,451.2445662,9.452184273,6.898249826
59,0.999767172,5.273459357,423.399642,9.452064098,6.900016111
60,0.999653475,5.242175266,420.3072411,9.452465625,6.895917294
61,0.999704956,4.584520373,396.4807427,9.452285592,6.901433145
62,0.999718864,5.078136356,387.3098662,9.452623282,6.898509714
63,0.99976678,5.172641053,402.2706727,9.453917406,6.893140141
64,0.999770435,4.756989551,428.7387127,9.45433923,6.890553329
65,0.999750928,2.509038176,446.5590434,9.455642848,6.887663829
66,0.999771292,1.767090191,448.7167583,9.4546488,6.889768997
67,0.999724836,2.160791869,478.358785,9.454294556,6.88345929
68,0.999766038,1.418932925,510.2481622,9.45638556,6.877265635
69,0.99963415,1.858359333,445.4712989,9.455565504,6.87614072
70,0.99963699,3.412745074,446.4975572,9.456417829,6.877413582
71,0.99973199,3.661729901,419.9781707,9.456244229,6.885425366
72,0.999781949,4.280824297,422.4074701,9.456082263,6.889190723
73,0.99959208,4.853393377,413.4857519,9.454033775,6.900410046
74,0.999766729,4.587172153,396.6713692,9.454543423,6.895589627
75,0.999712521,3.320942469,413.2244646,9.453301102,6.890991661
76,0.999601048,4.160867235,409.1511805,9.454402605,6.882084801
77,0.999547794,1.927342761,496.000567,9.455650981,6.88009979
78,0.999623719,2.967441575,481.3688607,9.454263828,6.893153576
79,0.999682704,4.642900173,390.7032111,9.454114579,6.897562132
80,0.999716991,5.440720905,385.6804966,9.454206567,6.896452976
81,0.999499338,5.280875227,393.7300547,9.453006587,6.910096385
82,0.999656844,5.203190844,373.3996962,9.453684135,6.904289262
83,0.999565882,5.551028517,379.1690125,9.453103075,6.91854984
84,0.999628734,4.929193987,383.6430112,9.453786345,6.906082446
85,0.999655448,5.365985218,380.6330758,9.453873063,6.905240662
86,0.999659041,4.574459625,391.6879138,9.453874764,6.90196132
87,0.999603266,4.109593397,405.5153369,9.454935449,6.896878361
88,0.999628835,2.954028768,411.3876054,9.454507168,6.886013345
89,0.999574096,2.60735006,394.0986709,9.456981313,6.877209318
90,0.999436508,2.00114378,397.9788406,9.454739646,6.891884199
91,0.999323195,3.746394092,404.5412873,9.454987929,6.899373455
92,0.999608267,4.141852605,389.5083084,9.454682309,6.898570246
93,0.999470993,4.818909893,371.9098034,9.455123313,6.893955968
94,0.999573445,3.922425802,376.0720218,9.455037977,6.89484038
95,0.999382426,1.977574179,394.1262113,9.456136639,6.880288097
96,0.999328344,0.731233152,434.7792349,9.45523368,6.884005969
97,0.999611625,1.8146156,418.4275454,9.457221523,6.871353909
98,0.999599275,1.062567961,496.2157747,9.459159645,6.860863036
99,0.999658253,3.687079655,439.0420913,9.456053512,6.886515627
100,0.999572464,3.949231735,459.742207,9.454976941,6.892939584
101,0.999391595,4.478306364,366.2391928,9.45432035,6.89149366
102,0.999393487,4.787276175,348.851109,9.452717617,6.90854111
103,0.999246774,4.355173432,362.6910334,9.452333138,6.907494754
104,0.999061985,3.745719686,367.0668931,9.453165068,6.900790113
105,0.860557035,0.592720584,675.8383458,9.457168406,6.793517568
106,0.989549267,1.533524777,431.5024275,9.449694756,6.853857703
107,0.999462666,3.412717004,316.2187057,9.446475973,6.853395628
108,0.999734249,2.632056419,416.122014,9.453616677,6.866560449
109,0.999619885,2.03725644,477.5742898,9.451960205,6.893375831
110,0.999709088,4.151841668,423.1799613,9.451792449,6.89359994
111,0.999614029,4.937272456,433.4038491,9.451333955,6.899038786
112,0.999675596,4.573887216,434.6935352,9.452116072,6.894197691
113,0.999679949,4.521735853,417.8924383,9.451049983,6.903926056
114,0.999658217,5.021332137,410.8022898,9.452124165,6.901473523
115,0.99970404,4.38410589,436.2044883,9.454534096,6.888492502
116,0.999697838,4.274076057,405.6840763,9.454245415,6.888934483
117,0.999761433,3.076892967,437.3951394,9.455938006,6.882328174
118,0.999693895,2.053864655,441.7053835,9.453980798,6.884077357
119,0.999686295,1.770271716,490.0255504,9.454132074,6.880064838
120,0.999714561,2.281141901,498.9209849,9.456175869,6.875339144
121,0.999632343,3.257651882,443.7347173,9.454271532,6.882622408
122,0.999678853,3.902098305,427.54643,9.454616277,6.891059325
123,0.999767711,4.35616055,416.640175,9.454485529,6.890311835
124,0.999662804,4.333204292,399.3698345,9.455484904,6.889495969
125,0.999735975,5.339167444,400.0111693,9.454108099,6.895708024
126,0.999704779,4.988480797,419.8468149,9.453528423,6.896029178
127,0.999721874,4.67288133,416.5567778,9.453017863,6.893049987
128,0.999726303,3.837788104,428.7778243,9.454653495,6.876693715
129,0.999714316,2.266407259,484.0637892,9.455365383,6.877418713
130,0.999773567,3.351040507,457.5949105,9.45541251,6.889204515
131,0.99964222,4.968253088,418.595523,9.452509696,6.900690603
132,0.999650283,5.176731721,407.7946552,9.453331723,6.901705101
133,0.999630646,5.413455183,392.3877536,9.452651093,6.902634922
134,0.999582554,5.394957036,378.2844874,9.452534533,6.906586732
135,0.999734173,5.866594353,375.1067245,9.453207336,6.90644831
136,0.999721059,5.909064647,376.4202636,9.453334581,6.90150462
137,0.999641641,5.668581634,383.018786,9.453107751,6.901863953
138,0.999727101,4.593372068,403.141323,9.453960322,6.89704819
139,0.999709164,4.119375391,395.2406413,9.454033451,6.894899107
140,0.999690304,3.541767695,408.3827076,9.454675767,6.888318198
141,0.999727555,3.006950185,405.3272027,9.456115583,6.87860683
142,0.999629486,2.431602244,409.037218,9.456049668,6.876544829
143,0.999481611,2.544831839,433.8055282,9.454905457,6.879400414
144,0.999623134,3.159026124,401.3067239,9.454688744,6.885933685
145,0.999512775,4.291988805,394.3350366,9.455050947,6.890055417
146,0.99954933,2.254595817,390.3641401,9.453414845,6.897552183
147,0.999631874,1.317358575,429.2708811,9.455588537,6.87957506
148,0.999569703,0.527903303,541.5279584,9.455061067,6.893223738
149,0.999532229,1.938532198,449.6935133,9.459036679,6.858940285
150,0.999662215,1.813811685,415.2770544,9.457670294,6.874198587
151,0.9997557,4.264955361,407.8635442,9.455462813,6.887972794
152,0.999636304,4.358755439,371.9706914,9.454222971,6.89456304
153,0.999524069,4.449817914,358.0794673,9.453909095,6.900415382
154,0.999560159,4.36738674,364.0915802,9.451898725,6.914905932
155,0.999409991,4.850232862,363.2951348,9.452780625,6.907526505
156,0.999584329,3.864402811,381.3754479,9.452636515,6.906952807
157,0.909750352,0.326076639,259.7461567,9.446044325,6.800390722
158,0.994277595,2.260969841,459.4328952,9.446333903,6.856167959
159,0.999598048,3.051149771,316.7893139,9.44470418,6.855005084
160,0.999738239,3.137543744,418.2375068,9.452246076,6.875084813
161,0.999757433,2.273110502,442.4523186,9.452661663,6.878665775
162,0.999718768,3.20035262,433.9031771,9.452597578,6.888828359
163,0.99966881,3.973184647,441.7695274,9.451485685,6.899349222
164,0.999756943,4.580356446,432.0501362,9.450291467,6.904620519
165,0.999649926,4.569802751,430.4148035,9.450838844,6.900952604
166,0.999738093,4.696253103,419.6245839,9.452331954,6.894337729
167,0.999683446,3.931544101,418.6165422,9.453334801,6.894637941
168,0.999645158,4.361308931,406.1360807,9.453438818,6.889983238
169,0.999767547,3.972702995,417.163396,9.455054653,6.88599393
170,0.99972903,2.63801873,438.668229,9.453700018,6.885852483
171,0.999436653,1.160702086,481.7705938,9.455599001,6.864080953
172,0.999673454,3.680261412,485.1518615,9.455086556,6.879594004
173,0.999596817,3.316425671,448.8027562,9.453862764,6.887876726
174,0.999659561,4.812468644,415.7248867,9.455099223,6.885117388
175,0.999630246,4.786702183,412.2909203,9.452747782,6.89771323
176,0.999775861,4.762059532,392.8623884,9.454088379,6.895480466
177,0.999586584,4.764360913,404.7734142,9.454234568,6.893229597
178,0.999772476,4.843384168,396.4548523,9.454324003,6.886413725
179,0.999680086,5.008473786,411.2494388,9.453610545,6.884935857
180,0.999642568,3.718978127,436.8820457,9.453348258,6.881054863
181,0.999745853,2.737759568,523.4655985,9.454874623,6.876391849
182,0.999720656,3.317491081,455.9325905,9.45498647,6.878178993
183,0.9996911,4.596144272,450.9182255,9.452452483,6.895815573
184,0.99967856,4.585793626,404.5158847,9.452542685,6.904419057
185,0.999721711,5.467159395,390.5447391,9.452846229,6.900068945
186,0.999678916,5.503808521,367.7854526,9.452429315,6.904537934
187,0.999699159,5.866156958,376.8039202,9.452596752,6.908351562
188,0.999627414,5.295482496,406.1236227,9.453716202,6.900781099
189,0.999643427,5.745162894,391.7717143,9.453297599,6.899492352
190,0.999710167,4.897837265,397.4604163,9.452738553,6.898692158
191,0.999659117,4.258829899,414.1652422,9.453223648,6.899847303
192,0.999637628,3.91307008,407.7951673,9.455098672,6.883009395
193,0.999692067,3.416008826,424.6564959,9.456073914,6.876586995
194,0.99966751,3.145119711,403.0511382,9.456072063,6.874981036
195,0.999677166,2.151325937,464.8513134,9.456025677,6.867653551
196,0.99962534,2.825231124,418.4518366,9.454954744,6.876072603
197,0.999656068,3.116017436,415.6042296,9.454939232,6.877877769
198,0.999660512,2.416679129,435.6187878,9.45497946,6.877601197
199,0.999581346,3.203945476,443.1155643,9.454646921,6.877110517
200,0.999522332,1.425056055,511.1209303,9.454122501,6.890343658
201,0.999738117,1.079879679,506.2449102,9.457512748,6.872777407
202,0.999665973,2.384245227,492.6295645,9.456296674,6.882343533
203,0.999697489,4.213651731,427.4014704,9.455263639,6.88993365
